"vehicleId","time","assignmentId","assignmentType","heading","latitude","longitude"
8087,"2016-04-21 19:00:27","SE-18","BLOCK_ID",231,38.89724,-77.07156
8087,"2016-04-21 19:00:57","SE-18","BLOCK_ID",175,38.89629,-77.07145
8087,"2016-04-21 19:01:27","SE-18","BLOCK_ID",175,38.89629,-77.07145
8087,"2016-04-21 19:01:57","SE-18","BLOCK_ID",175,38.89629,-77.07145
8087,"2016-04-21 19:02:28","SE-18","BLOCK_ID",175,38.89629,-77.07145
8087,"2016-04-21 19:02:54","SE-18","BLOCK_ID",166,38.89632,-77.07161
8087,"2016-04-21 19:03:02","SE-18","BLOCK_ID",185,38.89596,-77.07159
8087,"2016-04-21 19:03:33","SE-18","BLOCK_ID",263,38.89521,-77.07162
8087,"2016-04-21 19:04:03","SE-18","BLOCK_ID",263,38.89521,-77.07162
8087,"2016-04-21 19:04:33","SE-18","BLOCK_ID",339,38.89513,-77.07198
8087,"2016-04-21 19:05:04","SE-18","BLOCK_ID",66,38.89718,-77.07197
8087,"2016-04-21 19:05:34","SE-18","BLOCK_ID",88,38.89718,-77.07157
8087,"2016-04-21 19:06:04","SE-18","BLOCK_ID",88,38.89718,-77.07157
8087,"2016-04-21 19:06:34","SE-18","BLOCK_ID",95,38.8972,-77.07114
8087,"2016-04-21 19:07:04","SE-18","BLOCK_ID",95,38.8972,-77.07114
8087,"2016-04-21 19:07:34","SE-18","BLOCK_ID",4,38.89776,-77.07096
8087,"2016-04-21 19:08:04","SE-18","BLOCK_ID",5,38.89808,-77.07092
8087,"2016-04-21 19:08:35","SE-18","BLOCK_ID",333,38.89886,-77.07087
8087,"2016-04-21 19:09:05","SE-18","BLOCK_ID",273,38.89906,-77.07156
8087,"2016-04-21 19:09:35","SE-18","BLOCK_ID",261,38.899,-77.07557
8087,"2016-04-21 19:10:05","SE-18","BLOCK_ID",248,38.89744,-77.0805
8087,"2016-04-21 19:10:36","SE-18","BLOCK_ID",283,38.89705,-77.08346
8087,"2016-04-21 19:11:06","SE-18","BLOCK_ID",286,38.89829,-77.08672
8087,"2016-04-21 19:11:36","SE-18","BLOCK_ID",263,38.89848,-77.08899
8087,"2016-04-21 19:12:06","SE-18","BLOCK_ID",261,38.8983,-77.09072
8087,"2016-04-21 19:12:37","SE-18","BLOCK_ID",258,38.89789,-77.09425
8087,"2016-04-21 19:13:07","SE-18","BLOCK_ID",242,38.89707,-77.0975
8087,"2016-04-21 19:13:37","SE-18","BLOCK_ID",210,38.89533,-77.09988
8087,"2016-04-21 19:14:08","SE-18","BLOCK_ID",199,38.89343,-77.1009
