
03:44:30.603 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:240] Started module org.transitime.avl.GtfsRealtimeModule for agencyId=02

03:44:30.604 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:176] Getting data from feed using url=http://realtime.prod.obahart.org:8088/vehicle-positions

03:44:32.771 INFO  thread=GtfsRealtimeModule-1 [o.t.a.AvlExecutor:106] Starting AvlExecutor for directly handling AVL reports via a queue instead of JMS. maxAVLQueueSize=2000 and numberThreads=1

03:44:32.887 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1026, time=06-27-2016 11:44:32.758 BST, location=[27.97052, -82.42191], speed=19.0m/s, heading=270.0 deg, source=GTFS-rt, assignmentId=144923, assignmentType=TRIP_ID]

03:44:32.891 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1018, time=06-27-2016 11:44:32.758 BST, location=[27.98968, -82.39117], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=144924, assignmentType=TRIP_ID]

03:44:32.894 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2612, time=06-27-2016 11:44:32.758 BST, location=[28.04008, -82.39366], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=144925, assignmentType=TRIP_ID]

03:44:32.897 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2930, time=06-27-2016 11:44:32.758 BST, location=[27.95415, -82.46836], speed=13.0m/s, heading=345.0 deg, source=GTFS-rt, assignmentId=145252, assignmentType=TRIP_ID]

03:44:32.900 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2929, time=06-27-2016 11:44:32.758 BST, location=[27.95169, -82.45876], speed=16.0m/s, heading=60.0 deg, source=GTFS-rt, assignmentId=145272, assignmentType=TRIP_ID]

03:44:32.904 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1007, time=06-27-2016 11:44:32.758 BST, location=[28.04073, -82.54984], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=145289, assignmentType=TRIP_ID]

03:44:32.907 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1508, time=06-27-2016 11:44:32.758 BST, location=[27.97408, -82.51290], speed=27.0m/s, heading=270.0 deg, source=GTFS-rt, assignmentId=145305, assignmentType=TRIP_ID]

03:44:32.911 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2501, time=06-27-2016 11:44:32.758 BST, location=[27.95049, -82.44804], speed=10.0m/s, heading=75.0 deg, source=GTFS-rt, assignmentId=145529, assignmentType=TRIP_ID]

03:44:32.914 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1019, time=06-27-2016 11:44:32.759 BST, location=[27.91210, -82.32098], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=145531, assignmentType=TRIP_ID]

03:44:32.917 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2906, time=06-27-2016 11:44:32.759 BST, location=[27.89374, -82.32564], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=145563, assignmentType=TRIP_ID]

03:44:32.920 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2403, time=06-27-2016 11:44:32.759 BST, location=[27.95223, -82.40266], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=145564, assignmentType=TRIP_ID]

03:44:32.924 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2927, time=06-27-2016 11:44:32.759 BST, location=[27.94615, -82.45512], speed=19.0m/s, heading=240.0 deg, source=GTFS-rt, assignmentId=145565, assignmentType=TRIP_ID]

03:44:32.927 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2425, time=06-27-2016 11:44:32.759 BST, location=[28.02123, -82.43810], speed=15.0m/s, heading=285.0 deg, source=GTFS-rt, assignmentId=145782, assignmentType=TRIP_ID]

03:44:32.930 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1505, time=06-27-2016 11:44:32.759 BST, location=[28.05420, -82.44281], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=145783, assignmentType=TRIP_ID]

03:44:32.932 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2907, time=06-27-2016 11:44:32.759 BST, location=[28.03993, -82.44365], speed=20.0m/s, heading=270.0 deg, source=GTFS-rt, assignmentId=145814, assignmentType=TRIP_ID]

03:44:32.936 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1302, time=06-27-2016 11:44:32.759 BST, location=[28.02133, -82.44087], speed=2.0m/s, heading=165.0 deg, source=GTFS-rt, assignmentId=145815, assignmentType=TRIP_ID]

03:44:32.939 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2309, time=06-27-2016 11:44:32.759 BST, location=[27.95503, -82.45826], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=145816, assignmentType=TRIP_ID]

03:44:32.942 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2302, time=06-27-2016 11:44:32.759 BST, location=[27.95225, -82.52853], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=145901, assignmentType=TRIP_ID]

03:44:32.944 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1013, time=06-27-2016 11:44:32.759 BST, location=[27.95243, -82.45716], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=146266, assignmentType=TRIP_ID]

03:44:32.946 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1503, time=06-27-2016 11:44:32.759 BST, location=[27.99581, -82.43473], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=146271, assignmentType=TRIP_ID]

03:44:32.949 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=2506, time=06-27-2016 11:44:32.760 BST, location=[27.96243, -82.44006], speed=38.0m/s, heading=270.0 deg, source=GTFS-rt, assignmentId=146315, assignmentType=TRIP_ID] because Speed of 38.0m/s is greater than maximum allowable speed of 31.3m/s. 

